Rainfall - (MM), Year, Statistics, Country, ISO3
45.6999, 1961, Jan Average, Afghanistan, AFG
36.3156, 1961, Feb Average, Afghanistan, AFG
67.186, 1961, Mar Average, Afghanistan, AFG
83.5753, 1961, Apr Average, Afghanistan, AFG
20.042, 1961, May Average, Afghanistan, AFG
6.23485, 1961, Jun Average, Afghanistan, AFG
11.278, 1961, Jul Average, Afghanistan, AFG
7.07352, 1961, Aug Average, Afghanistan, AFG
3.23567, 1961, Sep Average, Afghanistan, AFG
5.44779, 1961, Oct Average, Afghanistan, AFG
29.4008, 1961, Nov Average, Afghanistan, AFG
24.034, 1961, Dec Average, Afghanistan, AFG
14.1697, 1962, Jan Average, Afghanistan, AFG
34.7725, 1962, Feb Average, Afghanistan, AFG
47.4306, 1962, Mar Average, Afghanistan, AFG
54.6099, 1962, Apr Average, Afghanistan, AFG
24.1415, 1962, May Average, Afghanistan, AFG
6.51486, 1962, Jun Average, Afghanistan, AFG
5.46194, 1962, Jul Average, Afghanistan, AFG
5.11733, 1962, Aug Average, Afghanistan, AFG
2.29556, 1962, Sep Average, Afghanistan, AFG
8.87976, 1962, Oct Average, Afghanistan, AFG
15.0474, 1962, Nov Average, Afghanistan, AFG
26.2709, 1962, Dec Average, Afghanistan, AFG
5.84007, 1963, Jan Average, Afghanistan, AFG
44.8966, 1963, Feb Average, Afghanistan, AFG
58.7311, 1963, Mar Average, Afghanistan, AFG
71.9117, 1963, Apr Average, Afghanistan, AFG
70.4776, 1963, May Average, Afghanistan, AFG
4.46068, 1963, Jun Average, Afghanistan, AFG
5.46345, 1963, Jul Average, Afghanistan, AFG
3.47734, 1963, Aug Average, Afghanistan, AFG
2.10516, 1963, Sep Average, Afghanistan, AFG
6.23654, 1963, Oct Average, Afghanistan, AFG
27.4944, 1963, Nov Average, Afghanistan, AFG
27.8644, 1963, Dec Average, Afghanistan, AFG
55.7747, 1964, Jan Average, Afghanistan, AFG
70.419, 1964, Feb Average, Afghanistan, AFG
61.252, 1964, Mar Average, Afghanistan, AFG
58.9231, 1964, Apr Average, Afghanistan, AFG
15.6237, 1964, May Average, Afghanistan, AFG
2.76395, 1964, Jun Average, Afghanistan, AFG
17.208, 1964, Jul Average, Afghanistan, AFG
5.85854, 1964, Aug Average, Afghanistan, AFG
2.79432, 1964, Sep Average, Afghanistan, AFG
2.86966, 1964, Oct Average, Afghanistan, AFG
10.9069, 1964, Nov Average, Afghanistan, AFG
16.3184, 1964, Dec Average, Afghanistan, AFG
70.5854, 1965, Jan Average, Afghanistan, AFG
50.6417, 1965, Feb Average, Afghanistan, AFG
33.8604, 1965, Mar Average, Afghanistan, AFG
83.4531, 1965, Apr Average, Afghanistan, AFG
38.471, 1965, May Average, Afghanistan, AFG
2.66484, 1965, Jun Average, Afghanistan, AFG
17.9831, 1965, Jul Average, Afghanistan, AFG
8.97844, 1965, Aug Average, Afghanistan, AFG
2.45922, 1965, Sep Average, Afghanistan, AFG
