Temperature - (Celsius), Year, Statistics, Country, ISO3
0.18633, 1931, Jan Average, Afghanistan, AFG
-2.6327, 1931, Feb Average, Afghanistan, AFG
7.64379, 1931, Mar Average, Afghanistan, AFG
14.2446, 1931, Apr Average, Afghanistan, AFG
16.545, 1931, May Average, Afghanistan, AFG
21.5451, 1931, Jun Average, Afghanistan, AFG
24.2599, 1931, Jul Average, Afghanistan, AFG
24.5102, 1931, Aug Average, Afghanistan, AFG
19.5723, 1931, Sep Average, Afghanistan, AFG
12.7591, 1931, Oct Average, Afghanistan, AFG
5.60332, 1931, Nov Average, Afghanistan, AFG
1.27799, 1931, Dec Average, Afghanistan, AFG
0.63495, 1932, Jan Average, Afghanistan, AFG
2.71495, 1932, Feb Average, Afghanistan, AFG
8.15216, 1932, Mar Average, Afghanistan, AFG
14.8527, 1932, Apr Average, Afghanistan, AFG
16.8344, 1932, May Average, Afghanistan, AFG
22.7501, 1932, Jun Average, Afghanistan, AFG
25.4726, 1932, Jul Average, Afghanistan, AFG
22.5658, 1932, Aug Average, Afghanistan, AFG
19.0288, 1932, Sep Average, Afghanistan, AFG
11.8948, 1932, Oct Average, Afghanistan, AFG
5.62468, 1932, Nov Average, Afghanistan, AFG
-1.4281, 1932, Dec Average, Afghanistan, AFG
-3.0645, 1933, Jan Average, Afghanistan, AFG
2.96393, 1933, Feb Average, Afghanistan, AFG
5.4081, 1933, Mar Average, Afghanistan, AFG
11.854, 1933, Apr Average, Afghanistan, AFG
18.6674, 1933, May Average, Afghanistan, AFG
22.8752, 1933, Jun Average, Afghanistan, AFG
25.933, 1933, Jul Average, Afghanistan, AFG
23.6693, 1933, Aug Average, Afghanistan, AFG
18.1718, 1933, Sep Average, Afghanistan, AFG
12.493, 1933, Oct Average, Afghanistan, AFG
7.33607, 1933, Nov Average, Afghanistan, AFG
3.55236, 1933, Dec Average, Afghanistan, AFG
-4.8483, 1934, Jan Average, Afghanistan, AFG
4.53424, 1934, Feb Average, Afghanistan, AFG
6.77267, 1934, Mar Average, Afghanistan, AFG
12.21, 1934, Apr Average, Afghanistan, AFG
15.3134, 1934, May Average, Afghanistan, AFG
23.1446, 1934, Jun Average, Afghanistan, AFG
24.7089, 1934, Jul Average, Afghanistan, AFG
24.3148, 1934, Aug Average, Afghanistan, AFG
18.2132, 1934, Sep Average, Afghanistan, AFG
11.8668, 1934, Oct Average, Afghanistan, AFG
5.13415, 1934, Nov Average, Afghanistan, AFG
2.91487, 1934, Dec Average, Afghanistan, AFG
-3.1749, 1935, Jan Average, Afghanistan, AFG
3.40372, 1935, Feb Average, Afghanistan, AFG
7.33223, 1935, Mar Average, Afghanistan, AFG
11.8209, 1935, Apr Average, Afghanistan, AFG
17.1423, 1935, May Average, Afghanistan, AFG
21.042, 1935, Jun Average, Afghanistan, AFG
24.8838, 1935, Jul Average, Afghanistan, AFG
24.2863, 1935, Aug Average, Afghanistan, AFG
18.5262, 1935, Sep Average, Afghanistan, AFG
12.7056, 1935, Oct Average, Afghanistan, AFG
5.13568, 1935, Nov Average, Afghanistan, AFG
1.69046, 1935, Dec Average, Afghanistan, AFG
-1.377, 1936, Jan Average, Afghanistan, AFG
3.61339, 1936, Feb Average, Afghanistan, AFG
5.18336, 1936, Mar Average, Afghanistan, AFG
12.2646, 1936, Apr Average, Afghanistan, AFG
19.9217, 1936, May Average, Afghanistan, AFG
23.7605, 1936, Jun Average, Afghanistan, AFG
24.9671, 1936, Jul Average, Afghanistan, AFG
23.4601, 1936, Aug Average, Afghanistan, AFG
19.8333, 1936, Sep Average, Afghanistan, AFG
14.7931, 1936, Oct Average, Afghanistan, AFG
6.28059, 1936, Nov Average, Afghanistan, AFG
0.8128, 1936, Dec Average, Afghanistan, AFG
-2.2414, 1937, Jan Average, Afghanistan, AFG
2.7211, 1937, Feb Average, Afghanistan, AFG
4.95076, 1937, Mar Average, Afghanistan, AFG
10.8898, 1937, Apr Average, Afghanistan, AFG
